Id,Value
1,$ex
2,$hit
3,( . Y . )
4,(.Y.)
5,*damn
6,*dyke
7,*fuck*
8,*shit*
9,*sucker
10,@$$
11,@nal
12,@nalhole
13,2girls1cup
14,5h1t
15,5hit
16,A$$
17,A$$whipe
18,A$$wipe
19,a_s_s
20,a55
21,AdolphHitler
22,adultery
23,ADULTSEXSHOP
24,adultsonly
25,ADULTVIDEO
26,ADULTZONE
27,afric00n
28,africoon
29,aftercum
30,ahole
31,aids
32,aidsbearer
33,alphanigg
34,americ00n
35,americunt
36,amerikkkan
37,anal
38,analcumdrip
39,analdoctor
40,analpunisher
41,angeladevi
42,angeldust
43,annal
44,annaslut
45,anolinctus
46,antichrist
47,anul
48,anus
49,aperape
50,arschloch
51,arsehole
52,aryan
53,ash0le
54,ash0les
55,asholes
56,asiacarrera
57,assbandit
58,assbasher
59,asses
60,assface
61,assfucker
62,ass-fucker
63,assfukka
64,assh0le
65,assh0lez
66,asshat
67,asshole
68,assholes
69,assholz
70,asshunter
71,asskiss
72,asslick
73,assman
74,assmaster
75,asspound
76,assram
77,assrammer
78,assrape
79,asswhole
80,asswipe
81,aurorasnow
82,azzhole
83,b!+ch
84,b!nl@den
85,b!tch
86,b00b*
87,b00bs
88,b17ch
89,b1tch
90,ballsack
91,bassterds
92,bastardz
93,basterds
94,basterdz
95,BDSM
96,Be@n B@nd!t
97,Be@n B@ndit
98,beaner
99,beanlicker
100,beastiality
101,beavereater
102,bestiality
103,bi+ch
104,bi7ch
105,biatch
106,bigfatasscow
107,bigtits
108,bigtitties
109,BIMBO
110,binladen
111,BINYA
112,biotch
113,bitch
114,bitch*
115,bitcher
116,bitchers
117,bitches
118,bitchface
119,BitchFaces
120,bitchin
121,bitching
122,blackanese
123,blackenstein
124,blackie
125,blacksabbath
126,blaxican
127,bloodyhell
128,blowjob
129,blowjob*
130,blueball
131,bollock
132,bollock*
133,bollocks
134,bollok
135,boner
136,boners
137,boob
138,boob*
139,BOOBIES
140,boobs
141,boofer
142,booobs
143,boooobs
144,booooobs
145,booooooobs
146,bootylicious
147,bukake
148,bukakke
149,bukkake
150,bullshirt
151,bumsnudel
152,burntheblks
153,burnthejews
154,bustanut
155,bustydusty
156,butplugg
157,buttbang
158,buttboy
159,buttfloss
160,buttfucker
161,butthead
162,butthhead
163,butthole
164,buttlick
165,buttman
166,buttmonkey
167,buttmuch
168,buttmunch
169,Buttmuncher
170,buttnugget
171,buttocks
172,buttpirate
173,butt-pirate
174,buttplug
175,buttplugs
176,buttslam
177,buttstain
178,buttwipe
179,c()()n
180,c00n
181,c0ck
182,c0ck*
183,c0cks
184,c0cksucker
185,c0k
186,cabron
187,callgirl
188,cameljockey
189,cameltoe
190,candyandes
191,cannabis
192,carpetmuncher
193,CARPORNO
194,CARSEX
195,caucazoid
196,cawk
197,cawks
198,cazzo
199,ch!ngch0ng
200,ch!nk
201,cheapwhore
202,cherry boy
203,cherry_boy
204,cherryboy
205,Chigger
206,chinaman
207,chinawhite
208,chink
209,chinko
210,chinks
211,choad
212,chokeoncocks
213,christilake
214,circlejerk
215,circumcise
216,cl1t
217,clirotis
218,clit
219,clitoris
220,clits
221,clowjob
222,cnts
223,cntz
224,cnut
225,cocaina
226,cocaine
227,coccaine
228,cock
229,cock*
230,cockface
231,cockhead
232,cock-head
233,cockmunch
234,cockmuncher
235,cocks
236,cocksuck*
237,cocksucked
238,cocksucker
239,cock-sucker
240,cocksucking
241,cocksucks
242,cocksuka
243,cocksukka
244,cocostarfish
245,coitus
246,cojones
247,cokmuncher
248,coksucka
249,condom
250,coochie
251,cootch
252,cooter
253,cooze
254,coprophagy
255,copulate
256,cornhole
257,cornholes
258,COSEX
259,cracka
260,crackdealer
261,cracker
262,crackerass
263,crackhead
264,crackpipe
265,cracksmoker
266,creamtits
267,Creem
268,crystalmeth
269,cullons
270,cumboy
271,cumbubble
272,cumbucket
273,cumcatcher
274,Cumdump
275,cumdumpster
276,cumeater
277,cumguz
278,cummer
279,cumming
280,cumonmyface
281,cums
282,cumshooter
283,cumshot
284,cumslot
285,cumstain
286,cumtaster
287,cunilingus
288,cunillingus
289,cunnilingus
290,cunninlingus
291,Cunnnnt
292,cunnnt
293,cunnter
294,cunny
295,cunt
296,cunt*
297,cuntlick
298,cuntlicker
299,cuntlicking
300,cunts
301,cuntz
302,cyberfuc
303,cyberfuck
304,cyberfucked
305,cyberfucker
306,cyberfuckers
307,cyberfucking
308,d!ck
309,d!cksucker
310,d1ck
311,d4mn
312,dammit
313,damn
314,damned
315,DAMOIMSEX
316,dank
317,dankhoe
318,danknugg
319,darkwanker
320,darky
321,deancoulter
322,debidiamond
323,defecat
324,derneger
325,dich
326,dichwad
327,dick
328,dick*
329,dickhead
330,Dickhole
331,dickholster
332,dike
333,dike*
334,dikes
335,dild0
336,dild0s
337,dildo
338,DildoMonster
339,dildos
340,dilld0
341,dilld0s
342,dimebag
343,dink
344,dirtaysanchez
345,dirttysanchez
346,dirtyho
347,dirtysanchez
348,ditavontease
349,dlck
350,dog-fucker
351,doggystyle
352,dollybuster
353,dominatricks
354,dominatrics
355,dominatrix
356,donkeypunch
357,donkeyribber
358,doosh
359,dopecheffe
360,dumbass
361,dunecoon
362,dyck
363,dyckwad
364,dyke
365,ejackulate
366,ejaculate
367,ejaculated
368,ejaculates
369,ejaculating
370,ejaculatings
371,ejaculation
372,ejakulate
373,enema
374,erection
375,erotic
376,escroto
377,esperm
378,euthanasie
379,extasy
380,F U C K
381,f u c k y o u
382,f_u_c_k
383,F0CK
384,F0urskin
385,f4nny
386,facial
387,facism
388,fack
389,faen
390,fag
391,fag*
392,fag1t
393,faget
394,fagg1t
395,fagging
396,faggit
397,faggitt
398,faggot
399,faggs
400,fagit
401,fagot
402,fagots
403,fags
404,fagz
405,faig
406,faigs
407,fakeboobs
408,fannyflaps
409,fannyfucker
410,Fapchug
411,FapFapFap
412,FapFapFapFap
413,Fapper
414,Fappmachine
415,FappMunch
416,fatass
417,fawk
418,fawker
419,FCK
420,FCKER
421,FCKR
422,FCKU
423,fcuk
424,fcuker
425,fcuking
426,FEALLATIO
427,feces
428,feck
429,fecker
430,felatio
431,felch
432,felcher
433,felching
434,fellate
435,fellatio
436,feltch
437,FEMSUB
438,fetish
439,FETISHWOMAN
440,fetus
441,filthymuslim
442,fingerbang
443,fingerfuck
444,fingerfucked
445,fingerfucker
446,fingerfuckers
447,fingerfucking
448,fingerfucks
449,fistfuck
450,fistfucked
451,fistfucker
452,fistfuckers
453,fistfucking
454,fistfuckings
455,fistfucks
456,fisting
457,fluffer
458,focker
459,fockerz
460,fook
461,fooker
462,foreplay
463,foreskin
464,fornicat
465,fostersmunch
466,fu c k
467,fu c k y o u
468,fu(*
469,fuck
470,Fuck Head
471,Fuck Off
472,fuck u
473,Fuck You
474,fucka
475,fucked
476,fucker
477,fuckers
478,FUCKFACE
479,fuckhead
480,fuckheads
481,fuckin
482,fucking
483,Fucking Asshole
484,Fucking Bastard
485,fuckings
486,fuckingshitmotherfucker
487,fuckme
488,FUCKR
489,fucks
490,FucktheHo
491,fucku
492,FUCKUP
493,fuckwhit
494,fuckwit
495,Fuckyou
496,fuck-you
497,fudgepacker
498,fuk
499,fuk*
500,fukah
501,fukass
502,fuken
503,fuker
504,fukin
505,fuking
506,fukk
507,fukkah
508,fukken
509,fukker
510,fukkin
511,fuks
512,fukwhit
513,fukwit
514,fusck
515,fux
516,fux0r
517,g00c
518,g00k
519,g0oc
520,g0ok
521,GAGASEXY
522,gagepowers
523,GAJASEX
524,gangbang
525,gangbanged
526,gangbangs
527,gangrape
528,GANGSHAQ
529,ganja
530,gay
531,gayboy
532,gaygirl
533,gaylord
534,gayoverlord
535,gaysex
536,gayz
537,genital
538,GENITALIA
539,genitals
540,genocide
541,ginawild
542,gingerhill
543,gizzing
544,GLORY HOLE
545,gloryhole
546,go0c
547,go0K
548,Goatbanger
549,goatse
550,god damn
551,GODAMMET
552,GODAMMIT
553,GODDAMMET
554,GODDAMMIT
555,goddamn
556,goebbels
557,gofukyorself
558,GOJASEX
559,goldenshower
560,gooc
561,gooch
562,goochgravy
563,gook
564,gookenator
565,gspot
566,gutterslut
567,h!tl3r
568,h!tler
569,h00r
570,h0ar
571,h0m0
572,h0r
573,h0re
574,h4x0r
575,hach[ií]s
576,"Hair Pie,"
577,hairyhorny
578,handjob
579,hardboob
580,HARDCORE
581,HARDCOREPORNO
582,hardcoresex
583,heidifleiss
584,Heilhitler
585,hentai
586,hentail
587,hero[ií]na
588,Heroinuser
589,herpies
590,Hetero
591,Heterosexual
592,himen
593,hitler
594,HitlerAdolph
595,holocaust
596,holybijesis
597,holywanker
598,homo
599,homoerectus
600,homos
601,Homosexual
602,hoodrat
603,HOOKER
604,horney
605,horniest
606,horny
607,hornytauren
608,HOTBOJY
609,hotcarl
610,hotdamn
611,hotsex
612,HOTSEXKOREA
613,hotslut
614,hymen
615,IJSEX
616,Ilikelilboys
617,Ilovelilboys
618,Ilovelilgirl
619,ImPedoBear
620,irapekids
621,itouchbois
622,itouchboys
623,itouchg!rls
624,itouchgirls
625,ituchg!rls
626,ituchgirls
627,j3w
628,j3ww3r
629,jackass
630,jackoff
631,jack-off
632,japs
633,jennahaze
634,jennajameson
635,jerkoff
636,jerk-off
637,jessicadee
638,Jewbacca
639,JewButt
640,jeweldenyle
641,Jewer
642,JewMonster
643,Jewww
644,JewYorker
645,Jew-Yorker
646,JFANTASY
647,JGIRLS
648,jillkelly
649,jiz
650,jizm
651,jizz
652,jizzing
653,juliashton
654,junglebunny
655,karadavis
656,kawk
657,kike
658,kikes
659,kikkityler
660,KINGSEX
661,kinky
662,kkk
663,klismaphilia
664,klitori
665,knobend
666,knobhead
667,knobjocky
668,knobjokey
669,kock
670,koon
671,kooter
672,Kream
673,krystalsteal
674,KSEX
675,kuksuger
676,kummer
677,kumming
678,kunilingus
679,kunt
680,kunts
681,kuntz
682,kyke
683,l3itch
684,lardass
685,larryflynt
686,lesb
687,lesbi
688,lesbian
689,LESBIEN
690,lesbo
691,lessy
692,lezbian
693,lezbo
694,lezzian
695,lezzie
696,lingerie
697,lipshits
698,lipshitz
699,littlearse
700,loloferrari
701,longdong
702,longusdongus
703,lubricant
704,m0f0
705,m0fo
706,m45terbate
707,ma5terb8
708,ma5terbate
709,marycarey
710,masochist
711,masokist
712,massterbait
713,masstrbait
714,masstrbate
715,masterb8
716,masterbaiter
717,masterbat*
718,masterbat3
719,masterbate
720,master-bate
721,masterbater
722,masterbates
723,masterbating
724,masterbation
725,masterbations
726,masterbator
727,mastorbate
728,mastorbator
729,masturbat*
730,masturbate
731,masturbati
732,masturbating
733,masturbation
734,masturbator
735,Meat puppet
736,meatsword
737,meatwad
738,MeinAdolph
739,MeinKaumpf
740,methhead
741,methmonster
742,mfucker
743,milf
744,minga
745,minge
746,misogynist
747,mof0
748,mo-fo
749,Momphucker
750,moneyshot
751,monstercock
752,mooncricket
753,morningwood
754,mothafuck
755,mothafucka
756,mothafuckas
757,mothafuckaz
758,mothafucked
759,mothafucker
760,mothafuckers
761,mothafuckin
762,mothafucking
763,mothafuckings
764,mothafucks
765,mothafuker
766,mothafukkah
767,mothafukker
768,Mother Fucker
769,motherfuck
770,motherfucked
771,motherfucker
772,mother-fucker
773,motherfuckers
774,motherfuckin
775,motherfucking
776,motherfuckings
777,motherfuckka
778,motherfucks
779,motherfukah
780,motherfuker
781,motherfukkah
782,motherfukker
783,Motherphucker
784,moulie
785,mouliewop
786,MRCONDOM
787,MTHRFCKR
788,mudshark
789,muffdiver
790,muie
791,mulkku
792,MULYOSEX
793,munch3r
794,munchking
795,munchqueen
796,muthafecker
797,muthafucker
798,muthafuckker
799,muthafukah
800,muthafuker
801,muthafukkah
802,muthafukker
803,mutherfucker
804,mysupersales
805,n!gg3r
806,n!gger
807,n@zi
808,n1gga
809,n1gger
810,n1gr
811,n1pple
812,natzi
813,nazi
814,nazis
815,necrophil
816,negro
817,negroid
818,negrolicious
819,negromancer
820,nickelbag
821,nicklebag
822,nigahh
823,niger
824,Nigg@
825,nigg3r
826,nigg4h
827,nigga
828,niggah
829,niggas
830,niggaz
831,nigger
832,nigger*
833,nigger;
834,niggers
835,Nigglet
836,niggs
837,nigim
838,nigimi
839,niglet
840,nignog
841,nigs
842,nigur;
843,niiger;
844,niigr;
845,nikkibenz
846,nipple
847,nipples
848,nobhead
849,nobjocky
850,nobjokey
851,NOPANTS
852,nosecandy
853,nude
854,nudity
855,NUDLNUDE
856,numbnuts
857,nunriggers
858,nutsack
859,nympho
860,oface
861,omgwtf
862,onanism
863,ONECLLCKPAY
864,onkeltom
865,opium
866,ORALSEXTV
867,orgasim
868,orgasim;
869,orgasims
870,orgasm
871,orgasms
872,orgasum
873,Orgee
874,orgie
875,orgy
876,p0rn
877,p3n1s
878,p3nis
879,packie
880,packy
881,paki
882,pakie
883,paky
884,panties
885,papsmear
886,paska*
887,PawPawPAw
888,pecker
889,peckertracks
890,peckerwood
891,pederast
892,pederasty
893,PedoBaer
894,pedobear
895,PedoBears
896,pedophile
897,Peedobear
898,Peedomonster
899,peeenus
900,peeenusss
901,peenus
902,peinus
903,pen!s
904,pen1s
905,penis
906,penis-breath
907,penisfucker
908,pennis
909,penthouse
910,penus
911,penuus
912,pervert
913,peternorth
914,phawk
915,PHONESEC
916,phonesex
917,PHONE색
918,PHONSEC
919,PHONSEK
920,PhookDatHo
921,phuc
922,phuck
923,Phuckdaho
924,Phuckdathoe
925,Phucker
926,phugface
927,phuk
928,phuked
929,phuker
930,phuking
931,phukked
932,phukker
933,phukking
934,phuks
935,phuq
936,pierdol*
937,pigfucker
938,pikajew
939,pillowbiter
940,pillu*
941,pimmel
942,pimp
943,pimper
944,pimpis
945,pinktaco
946,piss
947,piss*
948,pissed
949,pissedoff
950,pisser
951,pissers
952,pisses
953,pissflaps
954,pissin
955,pissing
956,pissoff
957,playboy
958,PLAYBOZI
959,playgirl
960,PLEYBOG
961,PLEYBOY
962,polac
963,polack
964,polak
965,polesmok
966,polesmokers
967,pollock
968,pommespapst
969,poohstab
970,poomaster
971,poonani
972,poonjuice
973,poontang
974,poontsee
975,poopeater
976,poopmunch
977,poostab
978,popasquat
979,popobumser
980,poppa!squat
981,poppasquat
982,porchmonk
983,porn
984,PORNER
985,porno
986,PORNOBOZI
987,pornography
988,PORNOMANA
989,PORNOPLAYBOY
990,pornos
991,PORNSEX
992,pornstar
993,powerfuck
994,Powerfuckgirls
995,pr0n
996,pr1c
997,pr1ck
998,pr1k
999,prebubescent
1000,prepubescent
1001,priapism
1002,prostituta
1003,prostitute
1004,pu$$y
1005,pube
1006,pubic
1007,pubis
1008,pudendum
1009,punkass
1010,pusse
1011,pussee
1012,pussi
1013,pussies
1014,pussy
1015,pussyfart
1016,pussylick
1017,pussys
1018,pussystomp
1019,quaaludes
1020,quadoushka
1021,queef
1022,queef*
1023,queer
1024,queers
1025,queerz
1026,qweef
1027,qweers
1028,qweerz
1029,qweir
1030,r@p3r
1031,r@pe
1032,raghead
1033,randywest
1034,rasperrymunch
1035,rasphberrymuncher
1036,REALXX
1037,rebeccalord
1038,rebeccaporn
1039,recktum
1040,rectum
1041,reich
1042,reneelarue
1043,resbian
1044,retard
1045,richthofen
1046,rimjaw
1047,rimjob
1048,rugmunch
1049,rumprang
1050,RUNSEX
1051,rustytrumpet
1052,ryanconner
1053,ryanwagner
1054,s e x
1055,S EX
1056,s.o.b.
1057,s_h_i_t
1058,sacofricosis
1059,sadist
1060,sadomaso
1061,saladtosser
1062,sanchezeater
1063,sanchezmuncher
1064,sandnigger
1065,sandninja
1066,sandydolphin
1067,sarastjames
1068,Sausage Jockey
1069,sc@t
1070,scank
1071,scatology
1072,scheiss*
1073,schlong
1074,schmuck
1075,scroat
1076,scrote
1077,scrotum
1078,selenasteele
1079,sex
1080,sexmachine
1081,sexy
1082,sexylilgirl
1083,seymorebutts
1084,sh!+
1085,sh!t
1086,sh!t*
1087,sh!tfaced
1088,sh1t
1089,sh1ter
1090,sh1ts
1091,sh1tter
1092,sh1tz
1093,shagger
1094,shaggin
1095,shagging
1096,sheethead
1097,shemale
1098,sherriangel
1099,shi+
1100,shit
1101,shitdick
1102,shite
1103,shited
1104,shitey
1105,shitface
1106,shitfaced
1107,shitfuck
1108,shitfull
1109,shithead
