���yG=QkoupId,NpcInfoId,NPCTalk,TeamId,IsStatic,Visible,InitialSpawning,Period,Despawn,Repeatable,Count,MaxConcurrentCount,Radius,MoveRadius,PosX,PosY,PosZ,RotateY,MovePath,LeaderNpcSpawnInfoId,MapMark,IsBattleStatistics
17101001,17199,94100,,10,1,1,1,0,0,1,1,1,0,0,-1100,5860,0,0,"{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":-1100,""y"":5860},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":586,""y"":5832},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1017,""y"":5824},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1020,""y"":5511},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1115,""y"":4845},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1116,""y"":3264},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1259,""y"":2494},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":2120,""y"":2400},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":4510,""y"":2391},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5171,""y"":2394},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5291,""y"":2559},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5523,""y"":2523},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5786,""y"":2474},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5986,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6356,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6884,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":7436,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":7917,""y"":2429}",,0,0
17101002,17299,94200,,10,1,1,1,0,0,1,1,1,0,0,-1100,5860,0,0,"{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":-1100,""y"":5860},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":586,""y"":5832},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1017,""y"":5824},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1020,""y"":5511},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1115,""y"":4845},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1116,""y"":3264},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1259,""y"":2494},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":2120,""y"":2400},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":4510,""y"":2391},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5171,""y"":2394},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5291,""y"":2559},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5523,""y"":2523},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5786,""y"":2474},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5986,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6356,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6884,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":7436,""y"":2429},{""delay"":600,""moveType"":""Walk"",""pause"":0,""x"":7917,""y"":2429}",,0,0
17101003,17399,94300,,10,1,1,1,0,0,1,1,1,0,0,-1100,5860,0,0,"{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":-1100,""y"":5860},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":586,""y"":5832},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1017,""y"":5824},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1020,""y"":5511},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1115,""y"":4845},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1116,""y"":3264},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1259,""y"":2494},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":2120,""y"":2400},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":4510,""y"":2391},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5171,""y"":2394},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5291,""y"":2559},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5523,""y"":2523},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5786,""y"":2474},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5986,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6356,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6884,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":7436,""y"":2429},{""delay"":600,""moveType"":""Walk"",""pause"":0,""x"":7917,""y"":2429}",,0,0
17101004,17499,94400,,10,1,1,1,0,0,1,1,1,0,0,-1100,5860,0,0,"{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":-1100,""y"":5860},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":586,""y"":5832},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1017,""y"":5824},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1020,""y"":5511},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1115,""y"":4845},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1116,""y"":3264},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1259,""y"":2494},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":2120,""y"":2400},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":4510,""y"":2391},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5171,""y"":2394},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5291,""y"":2559},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5523,""y"":2523},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5786,""y"":2474},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5986,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6356,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6884,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":7436,""y"":2429},{""delay"":600,""moveType"":""Walk"",""pause"":0,""x"":7917,""y"":2429}",,0,0
27101005,17599,95500,,10,1,1,1,0,0,1,1,1,0,0,-1100,5860,0,0,"{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":-1100,""y"":5860},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":586,""y"":5832},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1017,""y"":5824},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1020,""y"":5511},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1115,""y"":4845},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1116,""y"":3264},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":1259,""y"":2494},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":2120,""y"":2400},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":4510,""y"":2391},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5171,""y"":2394},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5291,""y"":2559},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5523,""y"":2523},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5786,""y"":2474},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":5986,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6356,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":6884,""y"":2429},{""delay"":0,""moveType"":""Walk"",""pause"":0,""x"":7436,""y"":2429},{""delay"":600,""moveType"":""Walk"",""pause"":0,""x"":7917,""y"":2429}",,0,0
17102103,17420,94408,,1,1,1,1,15,0,1,1,1,0,0,1850,5324,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":1850.1,""y"":5324.64},{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":710.1,""y"":5090.7}",,0,0
17102104,17440,94408,,1,1,1,1,15,0,1,1,1,0,0,1637,1548,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":1633.78,""y"":1548},{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":2100,""y"":2360.8}",,0,0
17102105,17460,94408,,1,1,1,1,15,0,1,1,1,0,0,4812,1185,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":4812,""y"":1185},{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":4540,""y"":2070}",,0,0
17102391,17520,95508,,1,1,1,1,15,0,1,1,1,0,0,4812,1185,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":1850.1,""y"":5324.64},{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":710.1,""y"":5090.7}",,0,0
17102392,17540,95508,,1,1,1,1,15,0,1,1,1,0,0,4812,1185,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":1633.78,""y"":1548},{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":2100,""y"":2360.8}",,0,0
