Id,PreQuestId,TaskId,Name,SpotInfoId,TargetSpotInfoId,Type,RequirePlayerLevel,TaskName,DialogOnly,MiniDialogId,StartNpcSpawnInfoId,StartNpcSpotInfoId,QuestNpcPortrait,QuestNpcName,QuestNpcDialog,FinishNpcSpawnInfoId,FinishNpcSpotInfoId,QuestNpcPortrait2,QuestNpcName2,QuestNpcDialog2,LimitTime,NeverDie,TaskRunInInstance,TaskType,TaskParam,TaskStartPosX,TaskStartPosY,TaskPerformancePosX,TaskPerformancePosY,TaskPerformanceRadius,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,ClassTransfer,QuestBGM,BGMFinish,BGMRemain,StartNpcId,FinishNpcId,VisitNpcId,SortId
1001,,1,여행의 시작,101,101,0,,용병단장 찾아가기,0,,10001,101,Noble_03,항구 관리인 프쉬케,"이곳은 모험가들이 경험을 쌓기 아주 좋은 곳이죠.
<p>일단 작은 일거리라도 하면서 이곳에 익숙해지는 것이 어떨까요?
<p>용병단장 더글라스가 새내기들을 위한 일거리를 주고 있어요. 항구를 빠져나가서 그를 만나보세요.",,,,,,,0,0,5,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,122,145,440001,1,,,,,,,,,10105,,10149,1018
1002,1001,1,실력 증명,101,101,0,,검은 늑대 사냥하기,0,,10006,101,Resident_04_03,용병단장 더글라스,"좋았어! 똑똑한 친구로군!
<P>그래 일자리를 찾고 있는 중이라고? 밥값을 벌고 싶다면 최소한의 자격이 필요하다는 것은 알고 있겠지?
<p>마침 주변에 늑대들이 출몰하니 실력을 좀 보여주게.",10006,101,,,,,0,0,2,"""npcInfoIdList"":""20105"",
""targetName"":""검은 늑대"",
""totalCount"":5,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",10653,34124,10653,34124,,232,155,440001,1,,,,,,,,,10149,10149,,1019
1003,1002,1,제대로 된 일거리,101,101,0,,불곰 사냥하기,0,,10006,101,Resident_04_03,용병단장 더글라스,"이렇게 빨리 늑대들을 처리하는 사람은 드물지. 자네는 쓸만한 친구일 것 같아.
<p>그런 의미에서 제대로 된 일을 주지. 혹시 늑대들 근처에서 불곰들이 보이지 않았나? 항구와 마을을 오고 가는 상인들이 늑대와 불곰들 때문에 고생이야.
<p>이참에 불곰들도 좀 사냥해 보는 것은 어떤가? 물론 공짜로 해달라는 말은 아닐세. 기대해도 좋아!",,,Resident_04_03,용병단장 더글라스,"제길, 큰일이야! 항구 쪽에서 오크들이 습격해왔어!",,0,0,2,"""npcInfoIdList"":""20104"",
""targetName"":""불곰"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",8849,34199,8849,34199,,303,190,911104,1,,,,,,,,,10149,,,1020
,,2,제대로 된 일거리,101,101,0,,용병단장 찾아가기,0,,,,,,,,,,,,,0,0,6,"""destPos"":""12916, 34964""",12916,34964,12916,34964,,0,0,0,0,0,0,0,0,,,,,,,,1021
,,3,제대로 된 일거리,101,101,0,,오크의 습격,0,,,,,,,,,,,,,0,0,9,"""name"":""OrcsAttack""",12916,34964,12916,34964,,0,0,0,0,0,0,0,0,,,,,,,,1022
,,4,제대로 된 일거리,101,101,0,,오크의 습격,0,,,,,,,,,,,,,0,0,5,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,0,0,0,0,0,0,0,0,,9,,1,,,10149,1023
1004,1003,1,비상사태!,101,101,0,,경비대장 찾아가기,0,,10006,101,Resident_04_03,용병단장 더글라스,"난 부하들과 함께 민간인들을 지킬 테니 자네는 서둘러 항구로 가줄 수 있겠나?<p>거기서 경비대장을 만나거든 내가 보냈다고 하게! 갑작스러운 사태에 당황스럽겠지만, 부탁하네.",,,,,,,0,0,5,"""npcSpawnInfoId"" : 10002",12146,36045,12146,36045,,152,135,440001,2,,,,,,9,,1,10149,,10144,1024
1005,1004,1,오크들의 습격,101,101,0,,오크 전사 처치하기,0,,10002,101,Officer,경비대장 헤럴드,"나루터에 오크들이 집결해 있네! 귀신처럼 나타났다고! 대체 무슨 수로 저만한 병력을 몰래 이동시킬 수 있었는지 감이 안 잡히는군!
<p>아무튼 나루터를 지켜야 하네! 같이 싸워주게!",10002,101,,,,,0,1,2,"""npcInfoIdList"":""220131"",
""targetName"":""오크 전사"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",12468,39067,12468,39067,,225,235,480002,1,,,,,,9,,1,10144,10144,,1025
,,3,오크들의 습격,101,101,0,,오크 호위병 처치하기,0,127,,,,,,,,,,,,0,1,2,"""npcInfoIdList"":""220132"",
""targetName"":""오크 호위병"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",13512,41725,13512,41725,,0,0,0,0,0,0,0,0,,9,,1,,,,1026
,,6,오크들의 습격,101,101,0,,오크 돌격대장 찾기,0,128,,,,,,,,,,,,0,1,6,"""destPos"" : ""14046, 41036"",
""radius"" : 400",14046,41036,14046,41036,,0,0,0,0,0,0,0,0,,9,,1,,,,1027
,,7,오크들의 습격,101,101,0,,오크 돌격대장 찾기,0,,,,Officer,경비대장 헤럴드,"이런! 돌격대장이 없어졌네!
<P>놈이 그 사이에 항구 입구로 왔나 보네! 어서 항구 입구로 와주게! 어서!!",,,,,,,0,1,7,"""type"" : ""Dialog""",14290,40953,14290,40953,,0,0,0,0,0,0,0,0,,9,,1,,,,1028
,,8,오크들의 습격,101,101,0,,항구 입구로 이동,0,129,,,,,,,,,,,,0,1,6,"""destPos"" : ""12467, 36374"",
""radius"" : 400",12467,36374,12467,36374,,0,0,0,0,0,0,0,0,,9,,1,,,,1029
,,9,오크들의 습격,101,101,0,,항구를 나가려는 오크 처치,0,,,,,,,,,,,,,0,1,2,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""19899, 19900, 19901"",
""npcInfoIdList"":""220131"",
""targetName"":""오크 전사"",
""totalCount"":3,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",12467,36066,12467,36066,,0,0,0,0,0,0,0,0,,9,,1,,,,1030
,,10,오크들의 습격,101,101,0,,돌격대장과 호위병 저지,0,126,,,,,,,,,,,,0,0,4,"""progressType"" : ""Clear"",
""npcSpawnGroupIdList"" : ""100151, 100140"",
""showMessage"" : ""false""",12467,36149,12467,36149,,0,0,0,0,0,0,0,0,,9,,1,,,,1031
