Key,Command,Value
1,,글로벌스트링 임시데이터
999,,การจับคู่คอลัมน์ผิดพลาด
1001,,ไดอา
1002,,อาเดนา
1003,,สกิลพอยท์
1004,,ชิ้นส่วนรูน
1005,,ผลึกโลหิต
1006,,คะแนนมิตรภาพ
1007,,คะแนนสะสม
1008,,โทปาซ
1009,,เหรียญแคลน
1010,,ไดอาฟ้า
1011,,ไดอาแดง
1012,,อาเดนาแคลน
1013,,ผลึกโลหิตแคลน
1014,,ตั๋วเทศกาลศึกชิงปราสาท
1015,,สโตนดาวแดงแคลน
1016,,สโตนดาวแดง
1017,,EXP
1018,,ไดอา
1019,,กระสุนวิญญาณ
1020,,ใบเสริมแกร่ง
1021,,ใบเสริมแกร่งรับพร
1022,,หินเลื่อนขั้น
1023,,สมุนไพร
1024,,อิลิกเซอร์
1025,,มอนสเตอร์คอร์
1026,,หนังสือสกิล
1027,,ได้รับตั๋วกวาดล้าง
1028,,โพชั่น
1029,,น้ำยาอิลิกเซอร์
2000,,ทั้งหมด
2001,,ดันเจี้ยนรายวัน
2002,,ดันเจี้ยนชั้นยอด
2003,,ดันเจี้ยนเก็บเกี่ยว
2004,,ดันเจี้ยนอุปกรณ์
2005,,ดันเจี้ยนอาเดนา
2006,,หอคอยโอมาน
2007,,ดันเจี้ยนใบเสริมแกร่ง
2008,,ดันเจี้ยนหินขัด
2009,,เรดบอส
2010,,ดันเจี้ยนแคลน
2011,,อารีน่า
2012,,ลานดวลเดือด
2013,,สมรภูมิโบราณ
2014,,สมรภูมิกล้าหาญ
3001,,ร้านค้าแนะนำ
3002,,ร้านค้าอัญเชิญ
3003,,ร้านค้าของใช้
3004,,ร้านค้าอาเดนา
3005,,ร้านค้าโทปาซ
3006,,ร้านค้าแพ็กเกจ
3007,,ร้านค้าคะแนนสะสม
3008,,เติมไดอา
3009,,ร้านค้าไดอาฟ้า
3010,,ร้านค้าแคลน
3011,,ร้านค้าของขวัญ
3012,,ไดอารายวัน
3013,,ไดอาเข้าเกม
3014,,ไดอาเติบโต
3015,,อาเดนารายวัน
4001,,ล่า
4002,,เควส
4003,,ผลิตอิลิกเซอร์
4004,,สร้างหนังสือสกิล
4005,,วิถีวีรชน
4006,,รางวัลหยุดพัก
4007,,บรรลุทันที
4008,,เควสแคลน
4009,,บริจาคแคลน
4010,,ทักทายสมาชิกแคลน
4011,,เควสแคลน
4012,,ภารกิจจำเป็น
4013,,เพื่อน
4014,,เปลี่ยนสายคลาส
4015,,อุปกรณ์
4016,,หินสะกดวิญญาณ
4017,,อาวุธ
4018,,เครื่องป้องกัน
4019,,เครื่องประดับ
4020,,เล็ก
4021,,กลาง
4022,,ใหญ่
4023,,มอนสเตอร์ทั่วไป
4024,,มอนสเตอร์หัวกะทิ
4025,,มอนสเตอร์บอส
4026,,ทองแดง
4027,,เงิน
4028,,ทอง
4029,,อุปกรณ์ระดับสูง
4030,,ทั่วไป
4031,,ระดับสูง
4032,,ระดับสูงสุด
5001,,พาลาดิน
5002,,เทมเพิล ไนท์
5003,,ซิลเลียน ไนท์
5004,,การ์เดี้ยน
5005,,วอร์ลอร์ด
5006,,เบลด แดนเซอร์
5007,,ซอร์ด ซิงเกอร์
5008,,สเลเยอร์
5009,,เทรเชอร์ ฮันเตอร์
5010,,เพลน วอล์คเกอร์
5011,,อะบิส วอล์คเกอร์
5012,,สกาเวนเจอร์
5013,,ฮอว์คอาย
5014,,ซิลเวอร์ เรนเจอร์
5015,,แฟนธอม เรนเจอร์
5016,,วอร์ เรนเจอร์
5017,,ซอร์เซอเรอร์
