Id,GroupId,NpcInfoId,NPCTalk,TeamId,IsStatic,Visible,InitialSpawning,Period,Despawn,Repeatable,Count,MaxConcurrentCount,Radius,MoveRadius,PosX,PosY,PosZ,RotateY,MovePath,MapMark
790001,999,101,,2,1,1,1,0,0,0,1,1,1,0,-8585,110,305,0,,1
790002,999,102,,4,1,1,1,0,0,0,1,1,1,0,-6465,7055,305,0,,1
790003,999,103,,3,1,1,1,0,0,0,1,1,1,0,-6800,-7075,305,0,,1
790004,999,104,,0,1,1,1,0,0,0,1,1,1,0,-4145,0,190,90,,1
790005,999,105,,0,1,1,1,0,0,0,1,1,1,0,-3340,4050,190,45,,1
790006,999,106,,0,1,1,1,0,0,0,1,1,1,0,-3310,-3915,190,125,,1
790007,999,107,,1,1,1,1,0,0,0,1,1,1,0,-985,-425,240,0,,1
790008,999,108,,1,1,1,1,0,0,0,1,1,1,0,-985,425,240,0,,1
790009,999,109,,1,1,1,1,0,0,0,1,1,1,0,1025,-225,240,0,,1
790010,999,110,,1,1,1,1,0,0,0,1,1,1,0,1025,225,240,0,,1
790015,999,115,,1,1,1,1,0,0,0,1,1,1,0,1025,-3655,240,0,,1
790016,999,116,,1,1,1,1,0,0,0,1,1,1,0,1025,-3225,240,0,,1
790017,999,117,,1,1,1,1,0,0,0,1,1,1,0,1025,3655,240,0,,1
790018,999,118,,1,1,1,1,0,0,0,1,1,1,0,1025,3225,240,0,,1
790019,999,119,,1,1,1,1,0,0,0,1,1,1,0,4635,-225,390,0,,1
790020,999,120,,1,1,1,1,0,0,0,1,1,1,0,4635,225,390,0,,1
790021,999,121,,1,1,1,1,0,0,0,1,1,1,0,6660,-410,390,0,,1
790022,999,122,,1,1,1,1,0,0,0,1,1,1,0,6660,410,390,0,,1
790023,999,123,,1,1,1,1,0,0,0,1,1,1,0,5960,-2170,-300,0,,1
790024,999,124,,1,1,1,1,0,0,0,1,1,1,0,5960,2180,-300,0,,1
791001,1008,31,,2,1,1,1,0,0,0,1,1,1,0,-520,-3555,300,0,,1
791002,1008,31,,2,1,1,1,0,0,0,1,1,1,0,-520,-2905,300,0,,1
791003,1008,32,,2,1,1,1,0,0,0,1,1,1,0,-520,1085,300,0,,1
791004,1008,32,,2,1,1,1,0,0,0,1,1,1,0,-520,1770,300,0,,1
791005,1008,33,,2,1,1,1,0,0,0,1,1,1,0,-1885,-1370,300,0,,1
791006,1008,33,,2,1,1,1,0,0,0,1,1,1,0,-1885,-490,300,0,,1
791007,1008,34,,1,1,1,1,0,0,0,1,1,1,0,4904,-3555,300,0,,1
791008,1008,34,,1,1,1,1,0,0,0,1,1,1,0,4904,-2905,300,0,,1
791009,1008,35,,1,1,1,1,0,0,0,1,1,1,0,4904,1085,300,0,,1
