Id,PreQuestId,TaskId,NameKey,SpotInfoId,TargetSpotInfoId,Type,RequirePlayerLevel,TaskNameKey,DialogOnly,MiniDialogId,StartNpcSpawnInfoId,StartNpcSpotInfoId,QuestNpcPortrait,QuestNpcNameKey,QuestNpcDialogKey,FinishNpcSpawnInfoId,FinishNpcSpotInfoId,QuestNpcPortrait2,QuestNpcName2Key,QuestNpcDialog2Key,LimitTime,NeverDie,TaskRunInInstance,RemainInstanceWorldEndTask,TaskType,TaskParam,TaskStartPosX,TaskStartPosY,TaskPerformancePosX,TaskPerformancePosY,TaskPerformanceRadius,QuestInitParam,TaskActionConditionType1,TaskActionConditionParam1,TaskActionType1,TaskActionParam1,TaskActionConditionType2,TaskActionConditionParam2,TaskActionType2,TaskActionParam2,TaskActionConditionType3,TaskActionConditionParam3,TaskActionType3,TaskActionParam3,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,QuestBGM,BGMFinish,BGMRemain,StartNpcId,FinishNpcId,VisitNpcId,SortId,TaskContentType,UnableAutoType,Portrait1DirectoryType,FlipPortrait1,Portrait2DirectoryType,FlipPortrait2,ClassTransfer
1001,,1,9910000100101,101,101,Scenario,,9920000100101,0,,10001,101,Noble_03,181000000001,9940000100101,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,,,,,,,,,,,,,,122,145,440001,1,,,,,,,,10105,,10149,1018,,,,0,,0,
1002,1001,1,9910000100201,101,101,Scenario,,9920000100201,0,,10006,101,Resident_04_03,181000000002,9940000100201,10006,101,,0,0,,0,0,0,KillMonster,"""npcInfoIdList"":""20105"",
""targetName"":""검은 늑대"",
""totalCount"":5,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",10653,34124,10653,34124,,,,,,,,,,,,,,,235,155,440001,1,,,,,,,,10149,10149,,1019,,,,0,,0,
1003,1002,1,9910000100301,101,101,Scenario,,9920000100301,0,,10006,101,Resident_04_03,181000000002,9940000100301,,,Resident_04_03,181000000002,9960000100301,,0,0,0,KillMonster,"""npcInfoIdList"":""20104"",
""targetName"":""불곰"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",8849,34199,8849,34199,,,,,,,,,,,,,,,310,190,911104,1,,,,,,,,10149,,,1020,,,,0,,0,
,,2,9910000100301,101,101,Scenario,,9920000100101,0,,,,,0,0,,,,0,0,,0,0,0,VisitPlace,"""destPos"":""12916, 34964""",12916,34964,12916,34964,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1021,,,,0,,0,
,,3,9910000100301,101,101,Scenario,,392000000059,0,,,,,0,0,,,,0,0,,0,0,0,CutScene,"""name"":""OrcsAttack""",12916,34964,12916,34964,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1022,,,,0,,0,
,,4,9910000100301,101,101,Scenario,,392000000059,0,,,,,0,0,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10006",13029,34960,13029,34960,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,10149,1023,,,,0,,0,
1004,1003,1,392000000019,101,101,Scenario,,9920000100401,0,,10006,101,Resident_04_03,181000000002,9940000100401,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10002",12146,36045,12146,36045,,,,,,,,,,,,,,,156,135,440001,2,,,,,9,,1,10149,,10144,1024,,,,0,,0,
1005,1004,1,9910000100501,101,101,Scenario,,9920000100501,0,,10002,101,Officer,181000000003,9940000100501,10002,101,,0,0,,0,1,1,KillMonster,"""npcInfoIdList"":""220131"",
""targetName"":""오크 전사"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",12468,39067,12468,39067,,,QuestTaskStarted,,StartSpawnNpc,"""npcSpawnGroupIdList"" : ""100101, 100117""",QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""194""}",,,,,234,235,480002,1,,,,,9,,1,10144,10144,,1025,,,,0,,0,
,,3,9910000100501,101,101,Scenario,,9920000100503,0,127,,,,0,0,,,,0,0,,0,1,1,KillMonster,"""npcInfoIdList"":""220132"",
""targetName"":""오크 호위병"",
""totalCount"":4,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",13512,41725,13512,41725,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1026,,,,0,,0,
,,6,9910000100501,101,101,Scenario,,9920000100506,0,128,,,,0,0,,,,0,0,,0,1,1,VisitPlace,"""destPos"" : ""14046, 41036"",
""radius"" : 400",14046,41036,14046,41036,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1027,,,,0,,0,
,,7,9910000100501,101,101,Scenario,,9920000100506,0,,,,Officer,181000000003,9940000100507,,,,0,0,,0,1,1,Waiting,"""type"" : ""Dialog""",14290,40953,14290,40953,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1028,,,,0,,0,
,,8,9910000100501,101,101,Scenario,,9920000100508,0,129,,,,0,0,,,,0,0,,0,1,1,VisitPlace,"""destPos"" : ""12467, 36374"",
""radius"" : 400",12467,36374,12467,36374,,,QuestTaskStarted,,SpawnNpc,"""npcSpawnGroupIdList"" : ""100139""",,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1029,,,,0,,0,
,,9,9910000100501,101,101,Scenario,,9920000100509,0,,,,,0,0,,,,0,0,,0,1,1,KillMonster,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""19899, 19900, 19901"",
""npcInfoIdList"":""220131"",
""targetName"":""오크 전사"",
""totalCount"":3,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",12467,36066,12467,36066,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1030,,,,0,,0,
,,10,9910000100501,101,101,Scenario,,9920000100510,0,126,,,,0,0,,,,0,0,,0,0,0,MonsterWave,"""progressType"" : ""Clear"",
""npcSpawnGroupIdList"" : ""100151, 100140"",
""showMessage"" : ""false""",12467,36149,12467,36149,,,QuestTaskStarted,,SpawnNpc,"{""spawnInfo"": [
{""npcSpawnInfoId"":18002},
{""npcSpawnInfoId"":18003},
{""npcSpawnInfoId"":18004},
{""npcSpawnInfoId"":18005}
 ],""weight"":1}",NpcDied,"""npcInfoId"" : 220133",CompleteCurTask,"""questType"" : ""Scenario""",QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""194""}",0,0,0,0,0,0,0,0,9,,1,,,,1031,,,,0,,0,
1006,1005,1,9910000100601,101,101,Scenario,,9920000100601,0,,10002,101,Officer,181000000003,9940000100601,10002,101,,0,0,,0,0,0,Tutorial,"""tutorialInfoId"" : 11",12146,36045,12146,36045,,,,,,,,,,,,,,,217,145,480002,1,,,,,,1,,10144,10144,,1032,,,,0,,0,
1007,1006,1,9910000100701,101,101,Scenario,,9920000100701,0,,10002,101,Officer,181000000003,9940000100701,,,Magician_01_04,10010150,9960000100701,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10010",12927,28464,12927,28464,,,QuestTaskStarted,,ShowMessage,"""stringKey"" : ""QUEST_ACTION_1007_1""",,,,,,,,,151,145,911103,1,,,,,,,,10144,,10150,1033,,,,0,,0,
1008,1007,1,9910000100801,101,101,Scenario,,9920000100801,0,,10010,101,Magician_01_04,10010150,9940000100801,10010,101,Magician_01_04,10010150,9960000100801,,0,0,0,KillMonster,"""npcInfoIdList"":""20121"",
""targetName"":""발굴단원들의 가방"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",11607,27133,11607,27133,,,,,,,,,,,,,,,205,160,440001,2,,,,,,,,10150,10150,,1034,,,,0,,0,
