Id,GroupId,NpcInfoId,NPCTalk,TeamId,IsStatic,Visible,InitialSpawning,Period,Despawn,Repeatable,Count,MaxConcurrentCount,Radius,MoveRadius,PosX,PosY,PosZ,RotateY,MovePath,MapMark
9000000,90100,301091,,1,1,1,1,10,0,1,1,1,1,0,45450,-10130,0,90,,0
9000001,90101,301001,,1,1,1,1,10,0,1,1,1,1,0,45450,-10130,0,90,,0
9000002,90102,301101,,1,1,1,1,10,0,1,1,1,1,0,45450,-10130,0,90,,0
9000011,90102,301104,,1,1,1,1,300,0,1,1,1,1,0,45197,-6803,903,90,,0
9000012,90102,301104,,1,1,1,1,300,0,1,1,1,1,0,45752,-6803,903,90,,0
9000003,90103,301201,,1,1,1,1,10,0,1,1,1,1,0,45450,-10130,0,90,,0
9000021,90103,301204,,1,1,1,1,300,0,1,1,1,1,0,45197,-6803,903,90,,0
9000022,90103,301204,,1,1,1,1,300,0,1,1,1,1,0,45752,-6803,903,90,,0
99000004,90104,301301,,1,1,1,1,10,0,1,1,1,1,0,45450,-10130,0,90,,0
99000031,90104,301305,,1,1,1,1,300,0,1,1,1,1,0,45197,-6803,903,90,,0
99000032,90104,301305,,1,1,1,1,300,0,1,1,1,1,0,45752,-6803,903,90,,0
99000033,90104001,301306,,1,1,1,1,0,0,1,1,1,1,0,400,-400,0,0,,0
99000034,90104001,301306,,1,1,1,1,0,0,1,1,1,1,0,-400,400,0,0,,0
99000035,90104001,301306,,1,1,1,1,0,0,1,1,1,1,0,400,400,0,0,,0
99000036,90104001,301306,,1,1,1,1,0,0,1,1,1,1,0,-400,-400,0,0,,0
1001,90300,300091,,1,1,1,1,10,0,1,1,1,1,0,-550,-6300,1050,130,,0
9000004,90301,300001,,1,1,1,1,10,0,1,1,1,1,0,-550,-6300,1050,130,,0
9000005,90302,300101,,1,1,1,1,10,0,1,1,1,1,0,-550,-6300,1050,130,,0
9000006,90303,300201,,1,1,1,1,10,0,1,1,1,1,0,-550,-6300,1050,130,,0
9000007,90304,300301,,1,1,1,1,10,0,1,1,1,1,0,-550,-6300,1050,130,,0
9000023,90401001,302004,,1,1,1,0,0,0,0,1,1,1,0,13137,10837,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14315,""y"":12092}",0
9000024,90401001,302004,,1,1,1,0,0,0,0,1,1,1,0,16730,10860,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":15487,""y"":12118}",0
9000025,90401002,302004,,1,1,1,0,0,0,0,1,1,1,0,13137,10837,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14315,""y"":12092}",0
9000026,90401002,302002,,1,1,1,0,0,0,0,1,1,1,0,13500,10470,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14123,""y"":11897}",0
9000027,90401002,302003,,1,1,1,0,0,0,0,1,1,1,0,13494,11231,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14431,""y"":11912}",0
9000028,90401002,302004,,1,1,1,0,0,0,0,1,1,1,0,16730,10860,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":15487,""y"":12118}",0
9000029,90401002,302002,,1,1,1,0,0,0,0,1,1,1,0,17120,10470,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":15353,""y"":11907}",0
9000030,90401002,302003,,1,1,1,0,0,0,0,1,1,1,0,17110,11250,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":15680,""y"":11935}",0
9000031,90402001,302104,,1,1,1,0,0,0,0,1,1,1,0,13137,10837,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14315,""y"":12092}",0
9000032,90402001,302102,,1,1,1,0,0,0,0,1,1,1,0,13500,10470,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14123,""y"":11897}",0
9000033,90402001,302104,,1,1,1,0,0,0,0,1,1,1,0,16730,10860,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":15487,""y"":12118}",0
9000034,90402001,302102,,1,1,1,0,0,0,0,1,1,1,0,17120,10470,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":15353,""y"":11907}",0
9000035,90402002,302104,,1,1,1,0,0,0,0,1,1,1,0,13137,10837,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14315,""y"":12092}",0
9000036,90402002,302102,,1,1,1,0,0,0,0,1,1,1,0,13500,10470,0,0,"{""delay"":0,""moveType"":""Run"",""pause"":0,""x"":14123,""y"":11897}",0
