# base_item_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: metadata_path	display_name
Metadata/Items/Currency/CurrencyWeaponQuality	Blacksmith's Whetstone
Metadata/Items/Currency/CurrencyMagicQuality	Arcanist's Etcher
Metadata/Items/Currency/CurrencyIdentification	Scroll of Wisdom
Metadata/Items/Currency/CurrencyRerollRare	Chaos Orb
Metadata/Items/Currency/CurrencyRerollRare2	Greater Chaos Orb
Metadata/Items/Currency/CurrencyRerollRare3	Perfect Chaos Orb
Metadata/Items/Currency/CurrencyArmourQuality	Armourer's Scrap
Metadata/Items/Currency/CurrencyDuplicate	Mirror of Kalandra
Metadata/Items/Currency/CurrencyHinekorasLock	Hinekora's Lock
Metadata/Items/Currency/CurrencyUpgradeToRare	Orb of Alchemy
Metadata/Items/Currency/CurrencyUpgradeRandomly	Orb of Chance
Metadata/Items/Currency/CurrencyPassiveRefund	Orb of Regret
Metadata/Items/Currency/CurrencyAtlasPassiveRefund	Orb of Unmaking
Metadata/Items/Currency/CurrencyUpgradeToMagic	Orb of Transmutation
Metadata/Items/Currency/CurrencyUpgradeToMagic2	Greater Orb of Transmutation
Metadata/Items/Currency/CurrencyUpgradeToMagic3	Perfect Orb of Transmutation
Metadata/Items/Currency/CurrencyRerollMagic	Orb of Alteration
Metadata/Items/Currency/CurrencyConvertToNormal	Orb of Scouring
Metadata/Items/Currency/CurrencyAddModToRare	Exalted Orb
Metadata/Items/Currency/CurrencyAddModToRare2	Greater Exalted Orb
Metadata/Items/Currency/CurrencyAddModToRare3	Perfect Exalted Orb
Metadata/Items/Currency/CurrencyUpgradeMagicToRare	Regal Orb
Metadata/Items/Currency/CurrencyUpgradeMagicToRare2	Greater Regal Orb
Metadata/Items/Currency/CurrencyUpgradeMagicToRare3	Perfect Regal Orb
Metadata/Items/Currency/CurrencyAddModToMagic	Orb of Augmentation
Metadata/Items/Currency/CurrencyAddModToMagic2	Greater Orb of Augmentation
Metadata/Items/Currency/CurrencyAddModToMagic3	Perfect Orb of Augmentation
Metadata/Items/Currency/CurrencyPortal	Portal Scroll
Metadata/Items/Currency/CurrencyFlaskQuality	Glassblower's Bauble
Metadata/Items/Currency/CurrencyGemQuality	Gemcutter's Prism
Metadata/Items/Currency/CurrencyRerollSocketColours	Chromatic Orb
Metadata/Items/Currency/CurrencyRerollSocketLinks	Orb of Fusing
Metadata/Items/Currency/CurrencyAddSkillGemSocket3	Lesser Jeweller's Orb
Metadata/Items/Currency/CurrencyAddSkillGemSocket4	Greater Jeweller's Orb
