# mod_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: mod_id	name	gen_type(1=Prefix,2=Suffix,3=Unique)	tier_word
Strength1	of the Brute	2	
Strength2	of the Wrestler	2	
Strength3	of the Bear	2	
Strength4	of the Lion	2	
Strength5	of the Gorilla	2	
Strength6	of the Goliath	2	
Strength7	of the Leviathan	2	
Strength8	of the Titan	2	
Strength9	of the Gods	2	
Dexterity1	of the Mongoose	2	
Dexterity2	of the Lynx	2	
Dexterity3	of the Fox	2	
Dexterity4	of the Falcon	2	
Dexterity5	of the Panther	2	
Dexterity6	of the Leopard	2	
Dexterity7	of the Jaguar	2	
Dexterity8	of the Phantom	2	
Dexterity9	of the Wind	2	
Intelligence1	of the Pupil	2	
Intelligence2	of the Student	2	
Intelligence3	of the Prodigy	2	
Intelligence4	of the Augur	2	
Intelligence5	of the Philosopher	2	
Intelligence6	of the Sage	2	
Intelligence7	of the Savant	2	
Intelligence8	of the Virtuoso	2	
Intelligence9	of the Genius	2	
AllAttributes1	of the Clouds	2	
AllAttributes2	of the Sky	2	
AllAttributes3	of the Meteor	2	
AllAttributes4	of the Comet	2	
AllAttributes5	of the Heavens	2	
AllAttributes6	of the Galaxy	2	
AllAttributes7	of the Universe	2	
AllAttributes8	of the Multiverse	2	
AllAttributes9_	of the Infinite	2	
FireResist1	of the Whelpling	2	
FireResist2	of the Salamander	2	
FireResist3	of the Drake	2	
FireResist4	of the Kiln	2	
FireResist5	of the Furnace	2	
FireResist6	of the Volcano	2	
FireResist7	of Magma	2	
FireResist8	of Tzteosh	2	
ColdResist1	of the Seal	2	
ColdResist2	of the Penguin	2	
ColdResist3	of the Narwhal	2	
ColdResist4	of the Yeti	2	
ColdResist5	of the Walrus	2	
ColdResist6	of the Polar Bear	2	
ColdResist7	of the Ice	2	
ColdResist8	of Haast	2	
LightningResist1	of the Cloud	2	
LightningResist2	of the Squall	2	
LightningResist3	of the Storm	2	
LightningResist4	of the Thunderhead	2	
LightningResist5	of the Tempest	2	
LightningResist6	of the Maelstrom	2	
LightningResist7	of the Lightning	2	
LightningResist8	of Ephij	2	
AllResistances1	of the Crystal	2	
AllResistances2	of the Prism	2	
AllResistances3	of the Kaleidoscope	2	
AllResistances4	of Variegation	2	
AllResistances5	of the Rainbow	2	
AllResistances6	of the Span	2	
NearbyAlliesAllResistances1	of Adjustment	2	
NearbyAlliesAllResistances2	of Acclimatisation	2	
NearbyAlliesAllResistances3	of Adaptation	2	
NearbyAlliesAllResistances4	of Evolution	2	
NearbyAlliesAllResistances5	of Progression	2	
NearbyAlliesAllResistances6	of Metamorphosis	2	
ChaosResist1	of the Lost	2	
ChaosResist2	of Banishment	2	
ChaosResist3	of Eviction	2	
ChaosResist4	of Expulsion	2	
ChaosResist5	of Exile	2	
ChaosResist6	of Bameth	2	
IncreasedLife1	Hale	1	Dire
IncreasedLife2	Healthy	1	Dire
IncreasedLife3	Sanguine	1	Dire
IncreasedLife4	Stalwart	1	Dire
IncreasedLife5	Stout	1	Dire
IncreasedLife6	Robust	1	Dire
IncreasedLife7	Rotund	1	Dire
IncreasedLife8	Virile	1	Dire
IncreasedLife9	Athlete's	1	Dire
IncreasedLife10	Fecund	1	Dire
IncreasedLife11	Vigorous	1	Dire
IncreasedLife12	Rapturous	1	Dire
IncreasedLife13	Prime	1	Dire
MaximumLifeIncrease1	Hopeful	1	
MaximumLifeIncrease2	Optimistic	1	
MaximumLifeIncrease3	Confident	1	
IncreasedMana1	Beryl	1	
IncreasedMana2	Cobalt	1	
IncreasedMana3	Azure	1	
IncreasedMana4	Teal	1	
IncreasedMana5	Cerulean	1	
IncreasedMana6	Aqua	1	
IncreasedMana7	Opalescent	1	
IncreasedMana8	Gentian	1	
IncreasedMana9	Chalybeous	1	
IncreasedMana10	Mazarine	1	
IncreasedMana11	Blue	1	
IncreasedMana12	Zaffre	1	
IncreasedMana13	Ultramarine	1	
IncreasedManaTwoHandWeapon1	Beryl	1	
IncreasedManaTwoHandWeapon2_	Cobalt	1	
IncreasedManaTwoHandWeapon3_	Azure	1	
IncreasedManaTwoHandWeapon4	Sapphire	1	
IncreasedManaTwoHandWeapon5	Cerulean	1	
IncreasedManaTwoHandWeapon6	Aqua	1	
IncreasedManaTwoHandWeapon7	Opalescent	1	
IncreasedManaTwoHandWeapon8_	Gentian	1	
IncreasedManaTwoHandWeapon9	Chalybeous	1	
IncreasedManaTwoHandWeapon10	Mazarine	1	
IncreasedManaTwoHandWeapon11	Blue	1	
IncreasedManaTwoHandWeapon12	Zaffre	1	
MaximumManaIncrease1	Cognizant	1	
MaximumManaIncrease2	Perceptive	1	
MaximumManaIncrease3	Mnemonic	1	
IncreasedPhysicalDamageReductionRating1	Lacquered	1	
IncreasedPhysicalDamageReductionRating2	Studded	1	
IncreasedPhysicalDamageReductionRating3	Ribbed	1	
IncreasedPhysicalDamageReductionRating4	Fortified	1	
IncreasedPhysicalDamageReductionRating5	Plated	1	
IncreasedPhysicalDamageReductionRating6	Carapaced	1	
IncreasedPhysicalDamageReductionRating7	Encased	1	
IncreasedPhysicalDamageReductionRating8_	Enveloped	1	
