# monster_name_map.tsv - auto-generated by extract_monster_names.py
# schema: 7 / 1774530945
# source: Data/Balance/MonsterVarieties.datc64 in Folders/data/6D/balance.datc64
# generated: 2026-03-30T14:30:01Z
abyssalcrystalwaller	Daemon
abyssalrunesspawner	Daemon
alvaincursionaccesssummon	Alva
alvaincursionhubsummon	Alva
alvaincursiontemplesummon	Alva
alvamachinarium	Alva
alvamachinarium1summon	Alva
alvamachinarium1summon_	Alva
alvamachinarium2summon	Alva
alvamachinarium2summon__	Alva
alvamachinariumlower	Alva
alvasunkencitypast	Alva
alvawaterwayssummon	Alva
alvawaterwayssummon__	Alva
ancestraljadehulk	[DNT-UNUSED] Jade Hulk
ancestraljadehulktotemspirit	Ancestral Jade Hulk
ancestralkaruihorn	[DNT-UNUSED] Karui Warhorn
ancestralkaruihorn_	[DNT-UNUSED] Karui Warhorn
ancestralkaruihorntotemspirit	Ancestral Warhorn
ancestralspiritcaster	[DNT-UNUSED] Spirit Caster
ancestralspiritcastertotemspirit	Ancestral Jadecaster
ancestralturtle	[DNT-UNUSED] Spirit Turtle
ancestralturtletotemspirit	Ancestral Spirit Turtle
ancestralwarriorspirit	Ancestral Warrior Spirit
anchoriteflathead	Flathead Clubber
anchoritemother	Pyromushroom Cultivator
anchoritespawn	Hunchback Clubber
anchoritespawn_	Hunchback Clubber
angerfishparasite	Infested Anglerfish
angerfishparasitedead	Infested Anglerfish
angeshoreline	Ange
animatedweaponplayersummoned	Animated Weapon
any	[ANY MONSTER]
apparitionbeamcaster	Abyssal Apparition
apparitionexpedition	Uhtred, Covetous Traitor
apparitionexpeditionorb	[DNT-UNUSED] Expedition Apparition Orb
apparitionmirage	Lich Apparition
apparitionmiragespawner	Daemon
arcaneenchanteddaemon	Daemon
architectblackhole	Daemon
archnemesisdefenderreckoningdaemon	Daemon
archnemesisgraspingvinesdaemon	Daemon
archnemesislivingcrystalsdaemon	Daemon
arenabeastboss	The Blind Beast
arenabeastbossmap	The Ravenous Fang
arenabeastbossmap_	The Ravenous Fang
arenabeastbossstandalone	The Blind Beast
armadillodemon	Antlion Charger
ascendancybat	Feral Bat
atziribossphaseone	Atziri, the Red Queen
atziribossphaseoneclone	Atziri, the Red Queen
atziribossphasetwo	Atziri, the Fell Serpent
atziribossphasetwo______	Atziri, the Fell Serpent
atziribossphasetwoclone	Atziri, the Fell Serpent
azmerianvipertornado	Invisible
balbala	Balbala, the Traitor
balbalaclone	Spirit of Balbala
balbalaclone_	Spirit of Balbala
balbalaclonemap	Spirit of Pirasha
balbalafog	Daemon
balbalafogstandalone	Daemon
balbalamap	Pirasha, the Forgotten Prisoner
balbalastandalone	Pirasha, the Forgotten Prisoner
