# stat_desc_map.tsv - generated by build_stat_desc_map.py
# Format: stat_id TAB template TAB arg_index TAB group_ids
# template placeholders: {0} {1} = stat values; wiki links stripped
# arg_index: which {N} this stat fills (0=first, 1=second, ...)
# group_ids: comma-separated group (multi-stat entries share a template)
%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100	Consuming Glory grants you {0}% increased Attack damage per Glory consumed for 6 seconds, up to 60%	0	%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100
%_chance_for_crossbow_reload_to_be_instant	{0}% chance when you Reload a Crossbow to be immediate	0	%_chance_for_crossbow_reload_to_be_instant
%_chance_to_blind_on_critical_strike	{0}% chance to Blind Enemies on Critical Hit	0	%_chance_to_blind_on_critical_strike
%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth	Critical Hits have {0}% chance to Blind Enemies while you have Cat's Stealth	0	%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth
%_chance_to_cause_bleeding_enemies_to_flee_on_hit	{0}% Chance to cause Bleeding Enemies to Flee on hit	0	%_chance_to_cause_bleeding_enemies_to_flee_on_hit
%_chance_to_create_smoke_cloud_on_mine_or_trap_creation	{0}% chance to create a Smoke Cloud when you lay a Mine or throw a Trap	0	%_chance_to_create_smoke_cloud_on_mine_or_trap_creation
%_chance_to_deal_150%_area_damage_+%_final	Hits have {0}% chance to deal 50% more Area Damage	0	%_chance_to_deal_150%_area_damage_+%_final
%_chance_to_duplicate_dropped_sentinels	{}% chance for found Sentinels to be Duplicated	0	%_chance_to_duplicate_dropped_sentinels
%_chance_to_gain_endurance_charge_each_second_while_channelling	{0}% chance to gain an Endurance Charge each second while Channelling	0	%_chance_to_gain_endurance_charge_each_second_while_channelling
%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Frenzy Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy	Supported Skills have {0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life	{0}% chance to gain a Power Charge on Hit against Enemies that are on Full Life	0	%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life
%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Power Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_power_charge_on_placing_a_totem	{0}% chance to gain a Power Charge when you Summon a Totem	0	%_chance_to_gain_power_charge_on_placing_a_totem
%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy	Supported Skills have {0}% chance to gain a Power Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance, Frenzy or Power Charge when any\nof your Traps are Triggered by an Enemy	0	%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy
%_maximum_life_as_focus	Enemies have Maximum Concentration equal to {0}% of their Maximum Life	0	%_maximum_life_as_focus
%_maximum_life_inflicted_as_aoe_fire_damage_when_hit	Deal {0}% of your maximum Life as Fire Damage to nearby Enemies when Hit	0	base_%_maximum_life_inflicted_as_aoe_fire_damage_when_hit
%_number_of_raging_spirits_allowed	{0}% increased Maximum number of Summoned Raging Spirits	0	%_number_of_raging_spirits_allowed
%_of_life_regeneration_applies_to_totems	{}% of your Life Regeneration applies to your Totems aswell	0	%_of_life_regeneration_applies_to_totems
%_physical_damage_bypasses_energy_shield	Physical Damage taken bypasses Energy Shield	0	%_physical_damage_bypasses_energy_shield
+1_max_charged_attack_stages	+1 to maximum Blade Flurry stages	0	+1_max_charged_attack_stages
+1_spirit_per_X_energy_shield_on_body_armour	+1 to Spirit for every {0} Item Energy Shield on Equipped Body Armour	0	+1_spirit_per_X_energy_shield_on_body_armour
+1_spirit_per_X_evasion_rating_on_body_armour	+1 to Spirit for every {0} Evasion Rating on Equipped Body Armour	0	+1_spirit_per_X_evasion_rating_on_body_armour
X_accuracy_per_2_intelligence	{0:+d} Accuracy Rating per 2 Intelligence	0	X_accuracy_per_2_intelligence
X_armour_if_you_have_blocked_recently	{0:+d} Armour if you've Blocked Recently	0	X_armour_if_you_have_blocked_recently
X_armour_per_active_totem	{0:+d} Armour per Summoned Totem	0	X_armour_per_active_totem
X_armour_per_stackable_unique_jewel	Gain {0} Armour per Grand Spectrum	0	X_armour_per_stackable_unique_jewel
X_life_per_4_dexterity	{0:+d} Life per 4 Dexterity	0	X_life_per_4_dexterity
X_mana_per_4_strength	{0:+d} Mana per 4 Strength	0	X_mana_per_4_strength
X_mana_per_stackable_unique_jewel	Gain {0} Mana per Grand Spectrum	0	X_mana_per_stackable_unique_jewel
X_to_armour_per_2_strength	{0:+d} Armour per 2 Strength	0	X_to_armour_per_2_strength
absolution_cast_speed_+%	{0}% increased Absolution Cast Speed	0	absolution_cast_speed_+%
absolution_duration_+%	{0}% increased Sentinel of Absolution Duration	0	absolution_duration_+%
absolution_minion_area_of_effect_+%	Summoned Sentinels of Absolution have {0}% increased Area of Effect	0	absolution_minion_area_of_effect_+%
abyss_socketable_movement_speed_is_only_base_+%_per_15_spirit_up_to_+40%	{0}% increased Movement Speed per 15 Spirit, up to a maximum of 40%\nOther Modifiers to Movement Speed except for Sprinting do not apply	0	abyss_socketable_movement_speed_is_only_base_+%_per_15_spirit_up_to_+40%
abyssal_cry_damage_+%	{0}% increased Infernal Cry Damage	0	abyssal_cry_damage_+%
abyssal_cry_duration_+%	{0}% increased Abyssal Cry Duration	0	abyssal_cry_duration_+%
abyssal_wasting_cold_resistance_%	Abyssal Wasting also applies {0:+d}% to Cold Resistance	0	abyssal_wasting_cold_resistance_%
abyssal_wasting_effect_+%	{0}% increased Magnitude of Abyssal Wasting you inflict	0	abyssal_wasting_effect_+%
abyssal_wasting_fire_resistance_%	Abyssal Wasting also applies {0:+d}% to Fire Resistance	0	abyssal_wasting_fire_resistance_%
abyssal_wasting_infinite_duration	Abyssal Wasting you inflict has Infinite Duration	0	abyssal_wasting_infinite_duration
abyssal_wasting_instant_life_leech_%	{0}% of Life Leeched from targets affected by Abyssal Wasting is Instant	0	abyssal_wasting_instant_life_leech_%
abyssal_wasting_instant_mana_leech_%	{0}% of Mana Leeched from targets affected by Abyssal Wasting is Instant	0	abyssal_wasting_instant_mana_leech_%
abyssal_wasting_lightning_resistance_%	Abyssal Wasting also applies {0:+d}% to Lightning Resistance	0	abyssal_wasting_lightning_resistance_%
abyssal_wasting_on_hit	Inflict Abyssal Wasting on Hit	0	abyssal_wasting_on_hit
accuracy_rating	{0:+d} to Accuracy Rating	0	accuracy_rating
accuracy_rating_+%	{0}% increased Accuracy Rating	0	accuracy_rating_+%
accuracy_rating_+%_during_onslaught	{0}% increased Accuracy Rating while you have Onslaught	0	accuracy_rating_+%_during_onslaught
accuracy_rating_+%_equal_to_%_attack_critical_strike_chance	Attacks gain increased Accuracy Rating equal to their Critical Hit Chance	0	accuracy_rating_+%_equal_to_%_attack_critical_strike_chance
accuracy_rating_+%_final_at_max_distance_scaled	Supported Skills have no Accuracy Rating Penalty from Range	0	accuracy_rating_+%_final_at_max_distance_scaled
accuracy_rating_+%_if_enemy_not_killed_recently	{0}% increased Accuracy Rating if you haven't Killed Recently	0	accuracy_rating_+%_if_enemy_not_killed_recently
accuracy_rating_+%_if_have_crit_in_past_8_seconds	{0}% increased Accuracy Rating if you've dealt a Critical Hit in the past 8 seconds	0	accuracy_rating_+%_if_have_crit_in_past_8_seconds
accuracy_rating_+%_per_10_tribute	{0}% increased Accuracy Rating per 10 Tribute	0	accuracy_rating_+%_per_10_tribute
accuracy_rating_+%_per_25_tribute	{0}% increased Accuracy Rating per 25 Tribute	0	accuracy_rating_+%_per_25_tribute
accuracy_rating_+%_per_frenzy_charge	{0}% increased Accuracy Rating per Frenzy Charge	0	accuracy_rating_+%_per_frenzy_charge
accuracy_rating_+%_vs_abyssal_wasting_afflicted	{0}% increased Accuracy Rating against Enemies affected by Abyssal Wasting	0	accuracy_rating_+%_vs_abyssal_wasting_afflicted
accuracy_rating_+%_vs_enemies_in_close_range	{0}% increased Accuracy Rating at Close Range	0	accuracy_rating_+%_vs_enemies_in_close_range
accuracy_rating_+%_vs_rare_or_unique_enemy	{0}% increased Accuracy Rating against Rare or Unique Enemies	0	accuracy_rating_+%_vs_rare_or_unique_enemy
accuracy_rating_+%_vs_unique_enemies	{}% increased Accuracy Rating against Unique Enemies	0	accuracy_rating_+%_vs_unique_enemies
accuracy_rating_+%_when_on_low_life	{0}% increased Accuracy Rating when on Low Life	0	accuracy_rating_+%_when_on_low_life
accuracy_rating_+%_while_moving	{0}% increased Accuracy Rating while moving	0	accuracy_rating_+%_while_moving
accuracy_rating_+%_while_shapeshifted	{0}% increased Accuracy Rating while Shapeshifted	0	accuracy_rating_+%_while_shapeshifted
accuracy_rating_+%_while_surrounded	{0}% increased Accuracy Rating while Surrounded	0	accuracy_rating_+%_while_surrounded
accuracy_rating_+_per_evasion_rating_on_helmet	{0:+d} to Accuracy Rating per 1 Item Evasion Rating on Equipped Helmet	0	accuracy_rating_+_per_evasion_rating_on_helmet
accuracy_rating_+_per_frenzy_charge	{0:+d} to Accuracy Rating per Frenzy Charge	0	accuracy_rating_+_per_frenzy_charge
accuracy_rating_+_per_green_socket_on_bow	{0:+d} to Accuracy Rating per Green Socket on Equipped Bow	0	accuracy_rating_+_per_green_socket_on_bow
accuracy_rating_against_marked_enemies_+%	{0}% increased Accuracy Rating against Marked Enemy	0	accuracy_rating_against_marked_enemies_+%
accuracy_rating_is_doubled	Accuracy Rating is Doubled	0	accuracy_rating_is_doubled
accuracy_rating_per_level	{0:+d} to Accuracy Rating per Level	0	accuracy_rating_per_level
accuracy_rating_vs_bleeding_enemies	{0:+d} to Accuracy against Bleeding Enemies	0	accuracy_rating_vs_bleeding_enemies
accuracy_rating_while_at_maximum_frenzy_charges	{0:+d} to Accuracy Rating while at Maximum Frenzy Charges	0	accuracy_rating_while_at_maximum_frenzy_charges
accuracy_rating_while_dual_wielding_+%	{0}% increased Accuracy Rating while Dual Wielding	0	accuracy_rating_while_dual_wielding_+%
action_speed_-%	{0}% reduced Action Speed	0	action_speed_-%
action_speed_cannot_be_reduced_below_base	Action Speed cannot be modified to below base value	0	action_speed_cannot_be_reduced_below_base
action_speed_cannot_be_slowed_below_base_if_cast_temporal_chains_in_past_10_seconds	Action Speed cannot be Slowed below Base Value if you've cast Temporal Chains in the past 10 seconds	0	action_speed_cannot_be_slowed_below_base_if_cast_temporal_chains_in_past_10_seconds
active_block_maximum_distance_+%	{0}% increased Parry Range	0	active_block_maximum_distance_+%
active_skill_additional_projectiles_description_mode	Fires an additional Projectile	0	active_skill_additional_projectiles_description_mode,number_of_additional_projectiles
active_skill_additive_spell_damage_modifiers_apply_to_attack_damage_at_%_value	Increases and Reductions to Spell Damage also apply to Attack Damage from this Skill	0	active_skill_additive_spell_damage_modifiers_apply_to_attack_damage_at_%_value
active_skill_area_damage_+%_final	{0}% more Area Damage	0	active_skill_area_damage_+%_final
active_skill_attack_damage_+%_final	Deals {0}% more Attack damage	0	active_skill_attack_damage_+%_final
active_skill_attack_damage_+%_final_with_two_handed_weapon	{0}% more Attack damage with Two Handed Weapons	0	active_skill_attack_damage_+%_final_with_two_handed_weapon
active_skill_attack_damage_final_permyriad	Deals {0}% more Attack damage	0	active_skill_attack_damage_final_permyriad
active_skill_attack_speed_+%_final	{0}% more Attack Speed	0	active_skill_attack_speed_+%_final
active_skill_attack_speed_+%_final_per_frenzy_charge	{0}% more Attack Speed per Frenzy Charge	0	active_skill_attack_speed_+%_final_per_frenzy_charge
active_skill_attack_speed_+%_final_with_two_handed_weapon	{0}% more Attack Speed with Two Handed Weapons	0	active_skill_attack_speed_+%_final_with_two_handed_weapon
active_skill_base_cold_damage_%_to_convert_to_fire	Converts {0}% of Cold damage to Fire damage	0	active_skill_base_cold_damage_%_to_convert_to_fire
active_skill_base_fire_damage_%_to_convert_to_chaos	Converts {0}% of Fire damage to Chaos damage	0	active_skill_base_fire_damage_%_to_convert_to_chaos
active_skill_base_lightning_damage_%_to_convert_to_chaos	Converts {0}% of Lightning damage to Chaos damage	0	active_skill_base_lightning_damage_%_to_convert_to_chaos
active_skill_base_physical_damage_%_to_convert_to_chaos	Converts {0}% of Physical damage to Chaos damage	0	active_skill_base_physical_damage_%_to_convert_to_chaos
active_skill_base_physical_damage_%_to_convert_to_cold	Converts {0}% of Physical damage to Cold damage	0	active_skill_base_physical_damage_%_to_convert_to_cold,active_skill_display_suppress_physical_to_cold_damage_conversion
active_skill_base_physical_damage_%_to_convert_to_fire	Converts {0}% of Physical damage to Fire damage	0	active_skill_base_physical_damage_%_to_convert_to_fire
