# unique_item_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: metadata_path	unique_name
Metadata/Items/Heist/HeistEquipmentUtilityTest	The Black Insignia
Metadata/Items/Heist/HeistEquipmentRewardTest	Dream Fragments
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace1	Brynhand's Mark
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace2	Wylund's Stake
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace3	Frostbreath
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace4	Trenchtimbre
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace5	Sculpted Suffering
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace6	Seeing Stars
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace7	Nebuloch
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace13	Mjölner
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace1	Hoghunt
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace2	Hrimnor's Hymn
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace3	Trephina
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace4	Brain Rattler
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace5	The Empty Roar
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace6	Shyaba
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace7	Chober Chaber
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace8	Quecholli
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace9	Tidebreaker
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace10	Marohi Erqi
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace13	The Hammer of Faith
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear1	Splinter of Loratta
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear2	Tyranny's Grip
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear3	Chainsting
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear4	Skysliver
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear5	Daevata's Wind
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear6	Tangletongue
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear7	Saitha's Spear
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear13	Spire of Ire
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff1	The Blood Thorn
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff2	Pillar of the Caged God
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff3	The Sentry
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff5	Matsya
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff6	Nazir's Judgement
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWand1	The Wicked Quill
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWand2	Sanguine Diviner
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWand3	Lifesprig
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWand4	Adonia's Ego
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWand5	Enezun's Charge
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWand7	Cursecarver
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff1	Dusk Vigil
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff2	Taryn's Shiver
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff3	Earthbound
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff5	The Searing Touch
