# unique_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# Source: Words.datc64 Wordlist 6 (all PoE2 unique names)
# columns: unique_name	gold_price
 DO NOT USE	
Ab Aeterno	42621
Abberath's Hooves	
Abberath's Horn	
Abhorrent Interrogation	0
AbyssExileHuntress1	
AbyssExileHuntress2	
AbyssExileMercenary1	
AbyssExileMercenary2	
AbyssExileMonk1	
AbyssExileMonk2	
AbyssExileRanger1	
AbyssExileRanger2	
AbyssExileSorceress1	
AbyssExileSorceress2	
AbyssExileWarrior1	
AbyssExileWarrior2	
AbyssExileWitch1	
AbyssExileWitch2	
Abyssus	0
Acton's Nightmare	
Actum	
Adonia's Ego	42621
Advancing Fortress	
Aegis Aurora	0
Aerisvane's Wings	38926
Against the Darkness	31138
Agnerod	
Agnerod East	
Agnerod North	
Agnerod South	
Agnerod West	
Ahkeli's Meadow	
Ahkeli's Mountain	
Ahkeli's Valley	
Ahn's Contempt	
Ahn's Heritage	
Ahn's Might	
Ailment Durations	0
Al Dhih	
Alberon's Warpath	
Algor Mortis	
Alkem Eira	9091
Allelopathy	
Allure	
Alpha's Howl	42621
Altered Distant Memory	
Amanamu's Gaze	
Ambu's Charge	
Amor Mandragora	9091
Amplification Rod	
Anathema	
Anatomical Knowledge	
Ancestral Vision	
Ancient Skull	
Ancient Waystones	
Andvarius	23867
Angler's Plait	
Annihilation's Approach	
Apep's Rage	
Apep's Slumber	
Apep's Supremacy	22729
Apex Mode	
Apparitions	
Apron of Emiran	9091
Arakaali's Fang	
Arakaali's Gift	10673
Araku Tiki	
Arborix	
Architect's Hand	
Archive Relic	
Arimagius' Honor	
Army of Bones	
Arn's Anguish	
Arvil's Wheel	9091
Ascent From Flesh	
Asenath's Chant	
Asenath's Gentle Touch	
Asenath's Mark	
Ashcaller	0
Ashes of the Condemned	
Ashes of the Stars	
Ashes of the Sun	
Ashrend	19496
Asphyxia's Wrath	18182
Assailum	24714
Assassin's Haste	
Astral Projector	
Astramentis	32243
Atop the Atlas	
Atsak's Sight	10975
Attribute Override	0
Atziri's Acuity	22729
Atziri's Contempt	44753
Atziri's Disdain	11933
Atziri's Disfavour	
Atziri's Foible	
Atziri's Mirror	0
Atziri's Promise	
Atziri's Reflection	
Atziri's Reign	
Atziri's Rule	44133
Atziri's Splendour	42621
Atziri's Step	42621
Atziri's Vessel	
Augmented Distant Memory	
Augyre	
Aukuna's Will	
Aul's Uprising	
Aurseize	20188
Aurumvorax	
Auxium	
